0,1,2,3,4,5,6,7,8,9,10,11,12,13
95,5,0,103,1,750,10,201.893,87.98076209,92.906,41,1.6,652.1,146
95,5,0,103,1,800,10,211.515,89.06082311,92.906,41,1.6,652.1,146
95,5,0,103,1,750,10,201.609,85.31464369,47.867,22,1.54,658.8,147
95,5,0,103,1,700,10,171.45,92.87139108,92.906,41,1.6,652.1,146
95,5,0,103,1,800,10,205.999,60.95466483,47.867,22,1.54,658.8,147
95,5,0,103,1,700,10,175.403,94.32905937,47.867,22,1.54,658.8,147
95,5,0,103,1,750,10,190.695,79.1038045,91.224,40,1.33,640.1,160
95,5,0,103,1,750,10,199.119,79.12956574,138.905,57,1.1,538.1,169
92,8,0,101,1,725,10,199.28,92.92954637,183.84,74,2.36,770,139
92,8,0,101,1,725,10,179.58,83.86234547,92.906,41,1.6,652.1,146
92,8,0,101,1,725,10,204.53,83.65032025,24.305,12,1.31,737.7,160
95,0,5,101,1,800,10,180,56,26.982,13,1.61,577.5,118
95,0,5,101,1,800,10,190,64,47.867,22,1.54,658.8,147
95,0,5,101,1,800,10,208,74,180.94788,73,1.5,761,146
95,0,5,101,1,800,10,200,79,121.76,51,2.05,834,140
95,0,5,101,1,800,10,206,78,92.90638,41,1.6,652.1,146
95,0,5,101,1,800,10,225,83,183.84,74,2.36,770,139
95,0,5,101,1,800,10,225,85,95.95,42,2.16,684.3,139
95,0,5,101,1,700,10,220,80,26.982,13,1.61,577.5,118
95,2,3,101,1,700,10,228,93,95.95,42,2.16,684.3,139
95,0,5,101,1,700,30,215,75.34883721,26.982,13,1.61,577.5,118
95,0,5,101,1,700,60,207,69,26.982,13,1.61,577.5,118
95,0,5,101,1,700,10,232,91,95.95,42,2.16,684.3,139
95,0,5,101,1,700,30,232,88.8,95.95,42,2.16,684.3,139
95,0,5,101,1,700,60,232,87.2,95.95,42,2.16,684.3,139
95,0,5,101,1,750,10,192.5,66,26.982,13,1.61,577.5,118
95,0,5,101,1,750,10,228,89,95.95,42,2.16,684.3,139
100,0,0,101,1,770,10,228,90.30701754,183.84,74,2.36,770,139
100,0,0,101,1.5,790,10,219,93.47031963,183.84,74,2.36,770,139
100,0,0,101,2,810,10,204.8,95.5078125,183.84,74,2.36,770,139
80,10,10,100,0.03,780,12,210.9,81.03366524,24.305,12,1.31,737.7,145
80,10,10,110,1,780,15,183,97.26775956,88.90585,39,1.22,600,212
80,10,10,110,2,780,15,182,99.45054945,88.90585,39,1.22,600,212
80,10,10,110,3,780,15,177,99.43502825,88.90585,39,1.22,600,212
80,10,10,110,4,780,15,173,99.42196532,88.90585,39,1.22,600,212
90,0,10,101,2,600,10,210,91.9047619,26.982,13,1.61,577.5,118
90,0,10,101,4,600,10,207,92.60869565,26.982,13,1.61,577.5,118
90,0,10,101,6,600,10,199,94.87437186,26.982,13,1.61,577.5,118
90,0,10,101,2,720,10,217,92.16589862,26.982,13,1.61,577.5,118
90,0,10,101,4,720,10,214,85.51401869,26.982,13,1.61,577.5,118
94,4,2,101,1,680,10,218.5,90.8,180.94788,73,1.5,761,146
94,4,2,101,1,700,10,220.9,93.4,180.94788,73,1.5,761,146
94,4,2,101,1,730,10,228.5,94.8,180.94788,73,1.5,761,146
94,4,2,101,1,750,10,225.7,93.2,180.94788,73,1.5,761,146
94,4,2,101,1,780,10,223.5,92.1,180.94788,73,1.5,761,146
100,0,0,101,0.5,650,10,235.2,77.7,26.982,13,1.61,577.5,118
100,0,0,101,0.5,680,10,230,74.1,26.982,13,1.61,577.5,118
100,0,0,101,0.5,700,10,218.4,73.5,26.982,13,1.61,577.5,118
100,0,0,101,0.5,730,10,214,54.1,26.982,13,1.61,577.5,118
